Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Sandy's,78704,8/2/2016,88,"603 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.258645, -97.750915)",2800646,Routine Inspection
Scores Men's Club (aka Hot Bodies) ,78744,1/6/2016,100,"4134 FELTER LN
AUSTIN, TX 78744
(30.196537, -97.705731)",2803270,Routine Inspection
Short N Sweet,78753,5/14/2015,90,"10901 N LAMAR BLVD Unit 104
AUSTIN, TX 78753
(30.378384, -97.688383)",10000697,Routine Inspection
"Silo on 7th, The",78702,2/28/2017,85,"1300 E 7TH ST
AUSTIN, TX 78702
(30.264854, -97.7287)",11081788,Routine Inspection
"Sahara,The",78721,7/18/2016,94,"1413 WEBBERVILLE RD
AUSTIN, TX 78721
(30.279781, -97.681678)",10594068,Routine Inspection
Schlotzsky's ,78757,12/2/2014,87,"2545 W ANDERSON LN
AUSTIN, TX 78757
(30.356611, -97.732092)",10004367,Routine Inspection
Shanghai Chinese Restaurant,78752,11/30/2016,84,"6718 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.328994, -97.706639)",11458502,Routine Inspection
Sigma Alpha Epsilon,78705,11/28/2016,95,"2414 PEARL ST
AUSTIN, TX 78705
(30.289053, -97.746674)",2800581,Routine Inspection
Seton Medical Center-Cafeteria,78705,10/15/2015,92,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306168, -97.74525)",2800304,Routine Inspection
Shakespeare's Pub,78701,5/28/2015,77,"314 E 6TH ST
AUSTIN, TX 78701
(30.267216, -97.739798)",2801169,Routine Inspection
Scholtz Garden,78701,7/15/2014,95,"1607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.277843, -97.736509)",2800849,Routine Inspection
Santorini Cafe,78758,8/25/2016,88,"11800 N LAMAR BLVD Bldg 1
AUSTIN, TX 78758
(30.387546, -97.683659)",10880915,Routine Inspection
Savory Spice Shop,78759,10/20/2016,100,"10000 RESEARCH BLVD SB Unit 129
AUSTIN, TX 78759
(30.392352, -97.746845)",10658566,Routine Inspection
Salvation Army Adult Rehab,78745,7/14/2014,85,"4216 S CONGRESS AVE
AUSTIN, TX 78745
(30.220527, -97.76543)",2800736,Routine Inspection
Sam's Town Point,78748,8/18/2014,100,"2115 ALLRED DR
AUSTIN, TX 78748
(30.172701, -97.827603)",2802834,Routine Inspection
Schlotzsky's ,78757,11/30/2015,85,"2545 W ANDERSON LN
AUSTIN, TX 78757
(30.356611, -97.732092)",10004367,Routine Inspection
Scholtz Garden,78701,11/18/2015,85,"1607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.277843, -97.736509)",2800849,Routine Inspection
Salvation Pizza,78705,8/29/2014,81,"624 W 34TH ST
AUSTIN, TX 78705
(30.300794, -97.740681)",10934440,1st Follow Up to Routine of 50 - 69
Scruffy's Convenient Store,78701,7/21/2016,94,"307 E 6TH ST
AUSTIN, TX 78701
(30.267287, -97.740066)",2801370,Routine Inspection
Sam's Club #6453 Produce & Groceries,78759,11/18/2014,100,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",2803420,Routine Inspection
Sa-Ten,78702,1/3/2017,93,"916 SPRINGDALE RD Bunit 101
AUSTIN, TX 78702
(30.261792, -97.697968)",11202021,Routine Inspection
Sister Coffee,78702,1/4/2017,97,"913 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.260645, -97.734758)",11538385,Routine Inspection
183 Grill Austin Gyros,78729,1/28/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,8/8/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
SV - Cost Plus World Market,78745,6/20/2014,96,"5601 BRODIE LN Unit 1100
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",10003517,Routine Inspection
Sarpino's Pizzeria,78750,5/6/2014,97,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Simon Lee Bakery,78660,1/8/2016,98,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",2801130,Routine Inspection
Seventh Flag Coffee,78704,8/13/2015,93,"1506 S 1ST ST
AUSTIN, TX 78704
(30.249641, -97.755077)",11152944,Routine Inspection
Seton Healthcare- Dell Children's Center,78723,6/23/2015,100,"4900 MUELLER BLVD
AUSTIN, TX 78723
(30.303114, -97.70459)",10029465,Routine Inspection
Shipley Donuts,78717,8/8/2014,94,"10019 W PARMER LN Bldg 100
AUSTIN, TX 78717
(30.488618, -97.771715)",10233685,Routine Inspection
Sam's Club #6188 - Grocery,78717,10/7/2015,100,"10901 LAKELINE MALL DR
AUSTIN, TX 78717
(30.474449, -97.795922)",11293685,Routine Inspection
Sap's Fine Thai Cuisine,78745,8/2/2016,73,"4514 WEST GATE BLVD
AUSTIN, TX 78745
(30.23135, -97.800573)",2803069,Routine Inspection
Santa Rita Tex Mex Cantina,78749,5/19/2014,83,"5900 W SLAUGHTER LN Bunit 550
AUSTIN, TX 78749
(30.20083, -97.87895)",10259300,Routine Inspection
Schlotzsky's,78704,2/12/2016,93,"218 S LAMAR BLVD SB
AUSTIN, TX 78704
(30.263396, -97.757675)",10004385,Routine Inspection
Sawyer and Company,78702,5/6/2016,82,"4827 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.251693, -97.701799)",11189159,Routine Inspection
School House Pub,78722,10/28/2014,90,"2207 MANOR RD
AUSTIN, TX 78722
(30.284359, -97.718786)",10862709,Routine Inspection
Salvation Pizza,78705,7/5/2016,63,"624 W 34TH ST
AUSTIN, TX 78705
(30.300794, -97.740681)",10934440,Routine Inspection
"Side Bar, The",78701,3/17/2016,96,"602 E 7TH ST
AUSTIN, TX 78701
(30.267322, -97.736497)",2802182,Routine Inspection
Sarpino's Pizzeria,78750,8/7/2015,83,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Shiner's Saloon,78701,7/2/2015,92,"422 CONGRESS AVE Unit D
AUSTIN, TX 78701
(30.266942, -97.743212)",10166446,Routine Inspection
